NOME,ID,FOTO,NOMES_CIENTIFICOS,CLASSIFICACAO,BIOMA,REGIAO_DE_ORIGEM,CARACTERISTICAS
ALBÍZIA,717,"","[""Angico-Branco e Farinha-Seca "", ""Albizia polycephala""]","","","",""
AMBURANA,719,"","[""Cerejeira, Amburana-de-Cheiro e Cumaré "", ""Amburana cearensis""]","","","",""
ARAÇÁ-AMARELO,722,"","[""Aroeira-Mansa, Aroeira-Vermelha e Aroeira-"", ""Schinus terebenthifolius""]","","","",""
AROEIRA-PIMENTEIRA,723,"","[""Aroeira-Mansa, Aroeira-Vermelha e Aroeira-"", ""Precoce "", ""Schinus terebenthifolius""]","","","",""
AROEIRA-PRETA / AROEIRA-VERDADEIRO,726,"","[""Urundeúva, Aroeira-do-Sertão e Urindeúva "", ""Myracrodruon urundeuva""]","","","",""
AROEIRA-SALSO,727,"","[""Corneíba, Aroeira-Periquita e Aroeira-Folha-"", ""de-Salso"", ""Schinus molle"", nil, nil, nil, nil]","","","",""
GRINALDA-DE-NOIVA,728,"","[""Barbatimão Ornamental, Chuva-de-Ouro e "", ""Cássia-Barbatimão "", ""Cassia leptophylla""]","","","",""
BRACATINGA,729,"","[""Abracaatinga, Paracaatinga e Bracatinga "", ""Comum"", ""Mimosa scabrella""]","","","",""
BRACATINGA-BRANCA,731,"","[""Abracaatinga, Paracaatinga e Bracatinga "", ""Comum"", ""Mimosa scabrella""]","","","",""
CANAFÍSTULA / FAVEIRA,732,"","[""Farinha-seca, Sobrasil e Canafístula-Branca "", ""Peltophorum dubium""]","","","",""
CÁSSIA DO NORDESTE,736,"","[""Cássia-do-Nordeste, São-João, Pau-de-"", ""Ovelha e Sena Spectabilis "", ""Senna spectabilis""]","","","",""
CEBOLÃO BELA-SOMBRA,737,"","[""Cebolão, Umbu, Umbuzeiro, Ceboleiro e "", ""Bela-Sombra "", ""Phytolacca dioica"", nil, nil, nil, nil, nil]","","","",""
CHIMBUVA,739,"","[""Tambuvê, Chimbo, Timbo e Tamboril "", ""Timbauva "", ""Enterolobium timbouva""]","","","",""
COPAÍBA,741,"","[""leo-de-Copaíba e Copaíba-Vermelha "", ""opaifera langsdorffii""]","","","",""
FEDEGOSO,746,"","[""Canudo de Apito, Aleluia e Sena Aleluia "", ""Senna pendula""]","","","",""
GOIABA-VERMELHA,749,"","[""Goiaba, Guava e Guaiava"", ""Psidium guajava""]","","","",""
GUAPURUVU,751,"","[""uapurubu, Ficheira e Bacurubu "", ""chizolobium parahyba""]","","","",""
JATOBÁ,760,"","[""Jataí, Jataí-Amarelo e Jataí-Peba "", ""Hymenaea courbaril"", nil, nil, nil, nil]","","","",""
MARICÁ,765,"","[""Amorosa, Arranha-Gato, Espinheira-de-"", ""Cerca e Espinheira-de-Maricá "", ""Mimosa bimucronata""]","","","",""
MONJOLEIRO,766,"","[""Acácia-Monjolo"", ""Acacia polyphylla DC""]","","","",""
MULUNGU,767,"","[""Suinã e Mulungu Velutina "", ""Erythrina velutina""]","","","",""
MUTAMBO,768,"","[""Mutamba, Chico-Magro, Pau-de-Bicho e "", ""Mutamba-Verdadeira"", ""Guazuma ulmifolia""]","","","",""
OLHO-DE-CABRA,769,"","[""lho-de-Boi, Pau-Ripa e Tento-Vermelho "", ""rmosia arborea""]","","","",""
PAU-AMENDOIM,774,"","[""Amendoim-Bravo "", ""Pterogyne nitens"", nil, nil, nil, nil]","","","",""
PAU-CIGARRA,776,"","[""Sena-multijuga"", ""Senna multijuga""]","","","",""
PAU-D’ALHO,777,"","[""Guararema e Ibirarema"", ""Gallesia integrifolia""]","","","",""
PAU-FORMIGA,779,"","[""Pau-de-Novato e Novateiro Rosa"", ""Triplaris americana""]","","","",""
PAU-FERRO,780,"","[""Jucá "", ""Caesalpinia ferrea""]","","","",""
QUARESMEIRA,782,"","[""uaresma "", ""ibouchina granulosa""]","","","",""
SABOEIRO,783,"","[""Saboneteiro "", ""Sapindus saponaria"", nil, nil, nil, nil]","","","",""
SAGUARAJI,784,"","[""Sabiá"", ""Mimosa caesalpiniaefolia""]","","","",""
SANSÃO-DO-CAMPO / CERCA VIVA,785,"","[""Sabiá"", ""Mimosa caesalpiniaefolia""]","","","",""
TIMBURI / TIMBAÚVA,787,"","[""Tamboril, Orelha de Macaco e Tomboril-"", ""da-Mata"", ""Enterolobium contortisiliquum""]","","","",""
TUCANEIRO / PAU-VIOLA,788,"","[""Jacareúba e Tarumã"", ""Citharexylum myrianthum""]","","","",""
URUCUM,789,"","[""Urucu, Açafroa e Açafroeira-da-Terra "", ""Bixa orellana""]","","","",""
