NOME,ID,FOTO,NOMES_CIENTIFICOS,CLASSIFICACAO,BIOMA,REGIAO_DE_ORIGEM,CARACTERISTICAS
nome: ALBÍZIA,id: 717,foto: ,"nomes_cientificos: [""Angico-Branco e Farinha-Seca "", ""Albizia polycephala""]",classificacao: ,bioma: ,regiao_de_origem: ,caracteristicas: 
nome: AMBURANA,id: 719,foto: ,"nomes_cientificos: [""Cerejeira, Amburana-de-Cheiro e Cumaré "", ""Amburana cearensis""]",classificacao: ,bioma: ,regiao_de_origem: ,caracteristicas: 
nome: ARAÇÁ-AMARELO,id: 722,foto: ,"nomes_cientificos: [""Aroeira-Mansa, Aroeira-Vermelha e Aroeira-"", ""Schinus terebenthifolius""]",classificacao: ,bioma: ,regiao_de_origem: ,caracteristicas: 
nome: AROEIRA-PIMENTEIRA,id: 723,foto: ,"nomes_cientificos: [""Aroeira-Mansa, Aroeira-Vermelha e Aroeira-"", ""Precoce "", ""Schinus terebenthifolius""]",classificacao: ,bioma: ,regiao_de_origem: ,caracteristicas: 
nome: AROEIRA-PRETA / AROEIRA-VERDADEIRO,id: 726,foto: ,"nomes_cientificos: [""Urundeúva, Aroeira-do-Sertão e Urindeúva "", ""Myracrodruon urundeuva""]",classificacao: ,bioma: ,regiao_de_origem: ,caracteristicas: 
nome: AROEIRA-SALSO,id: 727,foto: ,"nomes_cientificos: [""Corneíba, Aroeira-Periquita e Aroeira-Folha-"", ""de-Salso"", ""Schinus molle"", nil, nil, nil, nil]",classificacao: ,bioma: ,regiao_de_origem: ,caracteristicas: 
nome: GRINALDA-DE-NOIVA,id: 728,foto: ,"nomes_cientificos: [""Barbatimão Ornamental, Chuva-de-Ouro e "", ""Cássia-Barbatimão "", ""Cassia leptophylla""]",classificacao: ,bioma: ,regiao_de_origem: ,caracteristicas: 
nome: BRACATINGA,id: 729,foto: ,"nomes_cientificos: [""Abracaatinga, Paracaatinga e Bracatinga "", ""Comum"", ""Mimosa scabrella""]",classificacao: ,bioma: ,regiao_de_origem: ,caracteristicas: 
nome: BRACATINGA-BRANCA,id: 731,foto: ,"nomes_cientificos: [""Abracaatinga, Paracaatinga e Bracatinga "", ""Comum"", ""Mimosa scabrella""]",classificacao: ,bioma: ,regiao_de_origem: ,caracteristicas: 
nome: CANAFÍSTULA / FAVEIRA,id: 732,foto: ,"nomes_cientificos: [""Farinha-seca, Sobrasil e Canafístula-Branca "", ""Peltophorum dubium""]",classificacao: ,bioma: ,regiao_de_origem: ,caracteristicas: 
nome: CÁSSIA DO NORDESTE,id: 736,foto: ,"nomes_cientificos: [""Cássia-do-Nordeste, São-João, Pau-de-"", ""Ovelha e Sena Spectabilis "", ""Senna spectabilis""]",classificacao: ,bioma: ,regiao_de_origem: ,caracteristicas: 
nome: CEBOLÃO BELA-SOMBRA,id: 737,foto: ,"nomes_cientificos: [""Cebolão, Umbu, Umbuzeiro, Ceboleiro e "", ""Bela-Sombra "", ""Phytolacca dioica"", nil, nil, nil, nil, nil]",classificacao: ,bioma: ,regiao_de_origem: ,caracteristicas: 
nome: CHIMBUVA,id: 739,foto: ,"nomes_cientificos: [""Tambuvê, Chimbo, Timbo e Tamboril "", ""Timbauva "", ""Enterolobium timbouva""]",classificacao: ,bioma: ,regiao_de_origem: ,caracteristicas: 
nome: COPAÍBA,id: 741,foto: ,"nomes_cientificos: [""leo-de-Copaíba e Copaíba-Vermelha "", ""opaifera langsdorffii""]",classificacao: ,bioma: ,regiao_de_origem: ,caracteristicas: 
nome: FEDEGOSO,id: 746,foto: ,"nomes_cientificos: [""Canudo de Apito, Aleluia e Sena Aleluia "", ""Senna pendula""]",classificacao: ,bioma: ,regiao_de_origem: ,caracteristicas: 
nome: GOIABA-VERMELHA,id: 749,foto: ,"nomes_cientificos: [""Goiaba, Guava e Guaiava"", ""Psidium guajava""]",classificacao: ,bioma: ,regiao_de_origem: ,caracteristicas: 
