NOME,APELIDO,ID,FOTO,NOMES_CIENTIFICOS,N_SEMENTES_G,N_DIAS_GERMINACAO,NECESSIDADE_HA,CICLO_DIAS_INV,CICLO_DIAS_VER,ESPACAMENTO_LINHA_PLANTAS,EPOCA_PLANTIO_R1,EPOCA_PLANTIO_R2,EPOCA_PLANTIO_R3,DESCRICAO,TAMANHO
Abóbora,MINI JACK,55,"","[""Pumpkin Mini Jack"", ""Zapallo Mini Jack"", ""Cucurbita pepo""]",15,4 - 8,2.00KG,"",,100 x 100,R1 Todo ano,R2 Ago - Fev,R3 Ago - Fev,"Fruto globular de cor amarelo-alaranjada, polpa creme. Média 5 frutos por planta. Vida longa (média 40 dias) boa para pratos individuais.",
Abóbora Híbrida,MAJESTADE,912,"","[""Squash Hybrid Majesty"", ""Zapallo Hibrida Majestade"", ""Cucurbita moschata x C. moschata""]",11,4 - 8,1.00KG,"",,200 x 100,R1 Todo ano,R2 Ago - Fev,R3 Ago - Fev,"Frutos de formato cilíndrico com pescoço de cor verde-rajada. Polpa amarelo forte de muita consistência. Excelente na produtividade e para transporte, plantio com ciclo curto.",
Abóbora Híbrida,TETSUKABUTO F1,16,"","[""Squash Hybrid Tetsukabuto"", ""Zapallo Hibrido Tetsukabuto"", ""Cucurbita maxima x Cucurbita moschata""]",5,4 - 8,0.600KG,"",,300 x 300,R1 Todo ano,R2 Ago - Jan,R3 Ago - Jan,"Kabotia.Ótima conservação. Fruto globular de cor verde-escura. No plantio, deve-se usar junto 20% de uma abóbora tipo máxima para a polinização.",
Abóbora Híbrida,TETSUKABUTO CHIKARA,915,"","[""Squash Hybrid Tetsukabuto Chikara"", ""Zapallito Hibrido Tetsukabuto Chikara"", ""Cucurbita maxima ""]",5,4 - 8,0.600KG,"",,300 x 300,R1 Todo ano,R2 Ago - Jan,R3 Ago - Jan,"Tipo kabotiá. Ótima conservação. Frutos grandes de exce-lente padrão e uniformidade. Excelente enchimento interno, frutos pesados. Rama vigorosa e sadia.",
Abóbora Híbrida,GLORIA,916,"","[""Squash Hybrid Butternut Gloria"", ""Zapallito Hibrido Butternut Gloria"", ""Cucurbita moschata""]",10,4 - 8,0.75KG,"",,200 x 200,R1 Todo ano,R2 Ago - Jan,R3 Ago - Jan,Tipo butternut. Frutos grandes de formato cilíndrico.Utilizada para processos industriais e mercado fresco.Uniformidade e alta produtividade.,
Abobrinha Híbrida,GIOCONDA,901,"","[""Squash Hybrid Gioconda"", ""Zapallito Hibrido Gioconda "", ""Cucurbita pepo""]",7,4 - 8,4.5KG,"",,100 x 100,R1 Todo ano,R2 Ago - Fev,R3 Ago - Fev,"Verde-claro, redonda e sem estrias. Resistência a vírus, produção na entressafra.",
Abobrinha Híbrida,PALOMA,902,"","[""Squash Hybrid Paloma"", ""Zapallito Hibrido Paloma"", ""Cucurbita pepo""]",7,4 - 8,4.5KG,"",,100 x 100,R1 Todo ano,R2 Ago - Fev,R3 Ago - Fev,"Formato cilíndrico, verde claro. Resistência a vírus, produção na entressafra. Alta capacidade produtiva.",
Abobrinha Híbrida,GRINGO F1,903,"","[""Squash Hybrid Gringo"", ""Zapallito Hibrido Gringo"", ""Cucurbita pepo""]",7,4 - 8,4.5KG,"",,100 x 100,R1 Todo ano,R2 Ago - Fev,R3 Ago - Fev,"Formato cilíndrico, verde-claro com estrias verde-escuras. Resistência a vírus, produção na entressafra.",
Abobrinha Híbrida,GIALLA,904,"","[""Squash Hybrid Gialla"", ""Zapallito Hibrida Gialla"", ""Cucurbita pepo""]",7,4 - 8,4.5KG,"",,100 x 100,R1 Todo ano,R2 Ago - Fev,R3 Ago - Fev,"Coloração ouro, com alta tolerância ao vírus do mosaico. Excelente contraste de cor entre o caule verde-escuro e a fruta amarela brilhante.",
Abobrinha Híbrida,CATHARINA,906,"","[""Squash Hybrid Catharina"", ""Zapallito Hibrido Catharina"", ""Cucurbita pepo""]",7,4 - 8,4.5KG,"",,100 x 100,R1 Todo ano,R2 Ago - Fev,R3 Ago - Fev,"Formato cilíndrico, verde-claro. Qualidade dos frutos.",
Abobrinha Híbrida,VÊNETO,907,"","[""Squash Hybrid Veneto"", ""Zapallito Hibrido Veneto"", ""Cucurbita pepo""]",7,4 - 8,4.5KG,"",,100 x 100,R1 Todo ano,R2 Ago - Fev,R3 Ago - Fev,"Formato cilíndrico, verde-claro com poucas estrias verde-escuras. Qualidade dos frutos.",
Abobrinha,DE TRONCO BRANCA,6,"","[""Squash Vegetable White Bush"", ""Zapallito de Tronco Blanco"", ""Cucurbita pepo""]",7,4 - 8,4.5KG,"",,100 x 100,R1 Todo ano,R2 Ago - Fev,R3 Ago - Fev,Fruto cilíndrico de cor creme.,
Abobrinha,DE TRONCO CASERTA,7,"","[""Squash Caserta"", ""Zapallito de Tronco Caserta"", ""Cucurbita pepo""]",7,4 - 8,4.50KG,"",,100 x 100,R1 Todo ano,R2 Ago - Fev,R3 Ago - Fev,Fruto cilíndrico com pescoço de cor verde-clara comlistras escuras.,
